"Part Number","Library Ref","Footprint Ref","Manufacturer","Manufacturer Part Number","Case/Package","Description","Mount","Number of Rows","HelpURL","Lead Free","Max Operating Temperature","Max Voltage Rating (AC)","Max Voltage Rating (DC)","Min Operating Temperature","Number of Pins","REACH SVHC","RoHS","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Status"
"1010030682","1010030682","1010030682",,,"SMD","SIM card connector","Surface Mount","1","https://datasheet.octopart.com/1010030682-Amphenol-datasheet-45185381.pdf",,"0°C","0V","0V","0°C","9",,,,,,
"47571-0001","47571-0001",,,,,"MicroSD SMD Connector",,"1","http://www.molex.com/webdocs/datasheets/pdf/en-us//0475710001_MEMORY_CARD_SOCKET.pdf",,"0°C","0V","0V","0°C","40",,,,,,
