"Part Number","Library Ref","Description","Footprint Ref","Status"
"2 Sided Board Layer Stack","2 Sided Board Layer Stack","2 Sided Board Layer Stack","2 Sided Board Layer Stack-Footprint-1",
"4 Layer Stack","4 Layer Stack","4 Layer Stack","4 Sided Board Layer Stack",
"Horda ASG Logo","Horda ASG Logo","Overlay","Horda asg logo",
"InMotion Logo","InMotion Logo","Overlay","InMotion Logo",
"KL Logo","KL Logo","Kowalik Labs Logo","KL Logo",
