"Part Number","Library Ref","Case/Package","Revision ID","Color","Revision State","Forward Current","Manufacturer Part Number","Description","Case Code (Imperial)","Forward Voltage","Manufacturer","Luminous Intensity","Mount","Power Rating","AccessRights","Case Code (Metric)","ComponentType","Dominant Wavelength","Folder","FootprintDescription1","Footprint Ref","FootprintRevisionID1","Height","HelpURL","Illumination Color","Item ID","ItemDescription","Lead Free","Length","Lens Color","Lens Style","Lens Transparency","Max Operating Temperature","Min Operating Temperature","Note","Number of LEDs","Number of Pins","Part Number2","Power Dissipation","Release Date","Revision","RoHS","Symbol Name","Test Current","Viewing Angle","Width"
"67-21/LK2C-B45564C6CB2/2T","67-21/LK2C-B45564C6CB2/2T","PLCC2","CMP-011-0046-5",,,"0A","67-21/LK2C-B45564C6CB2/2T",,,"0V","Everlight",,,"0W","2147483647",,"Optoelectronics","0mm","Components\Optoelectronics\LEDs\Yellow",,"OL_PLCC2_3X2X13","PCC-011-0005-1","0mm",,,,,,"0mm",,,,"0°C","0°C",,,,,"0W","22/12/2018 02:37:51 PM",,,,"0A",,"0mm"
"APG1608SYKC/T","APG1608SYKC/T","0603","CMP-011-0049-6","Yellow",,"0A","APG1608SYKC/T","LED_YELLOW","0603","0V","Kingbright",,"Surface Mount","0W","2147483647",,"Optoelectronics","0mm","Components\Optoelectronics\LEDs\Yellow",,"OL_0603_1608","PCC-011-0003-3","0mm",,,,,,"0mm",,,,"0°C","0°C",,,"2","OL_Y_0603_0C1_APG1608SYKC/T","0W","25/01/2019 09:51:43 PM",,,"OL_Y","0A",,"0mm"
"LTST-C171KSKT","LTST-C171KSKT","0805","CMP-011-0052-4","Yellow",,"0A","LTST-C171KSKT","LED_YELLOW","0805","0V","Litle-On",,"Surface Mount","0W","2147483647",,"Optoelectronics","0mm","Components\Optoelectronics\LEDs\Yellow",,"OL_0805_2012","PCC-011-0004-1","0mm",,,,,,"0mm",,,,"0°C","0°C",,,"2","OL_Y_0805_0C05_LTST-C171KSKT","0W","18/11/2018 02:28:36 AM",,,"OL_Y","0A",,"0mm"
"OL_Y_0603","OL_Y_0603","0603","CMP-011-0048-6","Yellow",,"0A",,"LED_YELLOW","0603","0V",,,"Surface Mount","0W","2147483647",,"Optoelectronics","0mm","Components\Optoelectronics\LEDs\Yellow",,"OL_0603_1608","PCC-011-0003-3","0mm",,,,,,"0mm",,,,"0°C","0°C",,,"2","OL_Y_0603","0W","25/01/2019 09:51:42 PM",,,"OL_Y","0A",,"0mm"
"OL_Y_0805","OL_Y_0805","0805","CMP-011-0051-4","Yellow",,"0A",,"LED_YELLOW","0805","0V",,,"Surface Mount","0W","2147483647",,"Optoelectronics","0mm","Components\Optoelectronics\LEDs\Yellow",,"OL_0805_2012","PCC-011-0004-1","0mm",,,,,,"0mm",,,,"0°C","0°C",,,"2","OL_Y_0805","0W","18/11/2018 02:28:30 AM",,,"OL_Y","0A",,"0mm"
"OL_Y_PLCC2","OL_Y_PLCC2","PLCC2","CMP-011-0053-4","Yellow",,"0A",,"LED_YELLOW","PLCC2","0V",,,"Surface Mount","0W","2147483647",,"Optoelectronics","0mm","Components\Optoelectronics\LEDs\Yellow",,"OL_PLCC2_3X2X13","PCC-011-0005-1","0mm",,,,,,"0mm",,,,"0°C","0°C",,,"4","OL_Y_PLCC2","0W","18/11/2018 02:28:33 AM",,,"OL_Y","0A",,"0mm"
"OSY50603C1E","OSY50603C1E","0603","CMP-011-0050-6","Yellow",,"0A","OSY50603C1E","LED_YELLOW","0603","0V","Optosupply",,"Surface Mount","0W","2147483647",,"Optoelectronics","0mm","Components\Optoelectronics\LEDs\Yellow",,"OL_0603_1608","PCC-011-0003-3","0mm",,,,,,"0mm",,,,"0°C","0°C",,,"2","OL_Y_0603_OSY50603C1E","0W","25/01/2019 09:51:42 PM",,,"OL_Y","0A",,"0mm"
