"Part Number","Library Ref","Footprint Ref","Manufacturer","Revision State","Case/Package","Description","Mount","Number of Bits","Polarity","Height","HelpURL","Interface","Lead Free","Length","Max Operating Temperature","Max Supply Voltage","Min Operating Temperature","Min Supply Voltage","Number of Pins","REACH SVHC","Resolution","RoHS","Sampling Rate","Status","Supply Type","Width","Manufacruter","Manufacturer Part Number"
"ADS5562IRGZT","ADS5562IRGZT","QFN50P700X700X100_HS-49N","Texas Instruments",,"VQFN","16-Bit, 40 and 80 MSPS ADCs With DDR LVDS and CMOS Outputs",,"16","Bipolar","0mm","http://www.ti.com/lit/ds/symlink/ads5560.pdf","LVDS, Parallel","Lead Free","0mm","85°C","3.6V","-40°C","3V","48","No SVHC","16b",,"80MS/s",,"Analog, Digital","0mm",,
"MAX11614EEE+","MAX11614EEE+","QSOP16","Maxim Integrated",,"QSOP","12-Bit ADCs,4-/8-/12-Channel, Low-Power, I2C,","Surface Mount","12","Bipolar, Unipolar","1.651mm","https://datasheet.octopart.com/MAX11614EEE%2B-Maxim-Integrated-datasheet-41339404.pdf","I2C, Serial",,"4.98mm","85°C","5.5V","-40°C","4.5V","16","Unknown","12b",,"94.4KS/s",,"Single","3.99mm",,
