"Part Number","Library Ref","Footprint Ref","Current Rating","Gender","Pitch","Description","Mount","Number of Rows","Series","Connector Type","HelpURL","Lead Free","Max Operating Temperature","Number of Pins","Orientation","RoHS","Termination","Manufacruter","Manufacturer Part Number","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Status"
"685119136923","685119136923","685119136923","500mA","Receptacle","400µm","HDMI, Displayport & DVI Connectors Interface Connectors HDMI FML 19POS RA","Horizontal,Surface Mount","1",,"HDMI","https://datasheet.octopart.com/685119136923-W%C3%BCrth-Elektronik-datasheet-86508085.pdf","Lead Free","85°C","19","Right Angle","Compliant","SMD/SMT",,,,,,
"685119136923","685119136923","685119136923","500mA","Receptacle","400µm","HDMI, Displayport & DVI Connectors Interface Connectors HDMI FML 19POS RA","Horizontal,Surface Mount","1",,"HDMI","https://datasheet.octopart.com/685119136923-W%C3%BCrth-Elektronik-datasheet-86508085.pdf","Lead Free","85°C","19","Right Angle","Compliant","SMD/SMT",,,,,,
