"Part Number","Library Ref","Case/Package","Description","Manufacturer","Manufacturer Part Number","Connector Type","Current Rating","Gender","HelpURL","Max Operating Temperature","Mount","Number of Pins","Orientation","RoHS","Footprint Ref"
"ACJS-MHDR","ACJS-MHDR","THT","Conn 1/4"" Phone Jack F 3 POS Solder RA Thru-Hole 3 Terminal 1 Port","Amphenol","ACJS-MHDR","Jack","10A","Female","http://datasheet.octopart.com/ACJS-MHDR-Amphenol-datasheet-10026491.pdf","75°C","Trough Hole","3","Horizontal","Compliant","ACJS-MHDR"
"SJ-2523-SMT-TR","SJ-2523-SMT-TR","SMD/SMT","2.50mm (0.094, 3/32"", Sub Mini, Miniature) - Headphone Phone Jack Stereo Connector Solder""","CUI","SJ-2523-SMT-TR","Jack","1A","Female","https://pl.mouser.com/datasheet/2/670/sj-252x-smt_series-1313245.pdf","0°C","Surface Mount","3","Horizontal","Compliant","SJ-2523-SMT-TR"
"SJ-3524-SMT-TR","SJ-3524-SMT-TR","SMD/SMT","CONN JACK STEREO 3.5MM SMD R/A",,,"Jack","1A","Female",,,"Surface Mount",,"Horizontal",,
