"Part Number","Library Ref","Manufacturer Part Number","Description","Manufacturer","Footprint Ref","HelpURL","Status","Current Transfer Ratio","Forward Current","Collector-Emiter Voltage"
"LTV-846S","LTV-846S","LTV-846S","Optocoupler","Lite-On","PDIP16_Gull_Wing","http://datasheet.octopart.com/LTV-846S-Lite-On-datasheet-125263.pdf","MK",,,
"OC_ACPL-071L","OC_ACPL-071L","ACPL-071L-000E","Optocoupler","Broadcom","SOIC127P600X170-8N","http://datasheet.octopart.com/ACPL-071L-000E-Avago-datasheet-10314304.pdf",,,,
"OC_ACPL-W70L","OC_ACPL-W70L","ACPL-W70L-000E",,"Broadcom","SSO6","https://docs.broadcom.com/docs/AV02-1267EN",,,,
"OC_TCLT1006","OC_TCLT1006","TCLT1006","Optoisolator","Vishay","SOP4L","http://www.mouser.com/ds/2/427/tclt1000-57846.pdf",,,,
