"Part Number","Library Ref","Manufacturer","Manufacturer Part Number","Description","Gender","Mount","Number of Rows","Series","Current Rating","Height","HelpURL","Housing Material","Max Operating Temperature","Number of Pins","Orientation","Pitch","Polarization","RoHS","Row Spacing","Termination","Voltage Rating","Footprint Ref","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1"
"690157002072","690157002072","Wurth Electronics","690157002072",,,,,,,,,,,,,,,,,,,,,,
"690357282076","HEADER_2x10","Wurth Electronics","690357282076","WR-MM Plug, Dual Row, 20 Circuits","Plug","Surface Mount","2","WR-MM","1.5A",,"https://katalog.we-online.com/em/datasheet/690357282076.pdf",,"85°C","20","Straight","2.54mm",,"Compliant","1.5mm","Surface Mount","100V","690357282076",,,
"690367290676","HEADER_2x3","Wurth Electronics","690367290676","WR-MM Receptacle, Dual Row, 6 Circuits","Receptacle","Surface Mount","2","WR-MM","1.5A","5.25mm","https://katalog.we-online.com/em/datasheet/690367290676.pdf","PBT","105","6","Straight","2.54mm","Yes","Compliant","1.5mm","Surface Mount","100V","690367290676",,,
"690367292076","HEADER_2x10","Wurth Electronics","690367292076","WR-MM Plug, Dual Row, 20 Circuits, Latch, Polarization","Plug","Surface Mount","2","WR-MM","1.5A",,"https://katalog.we-online.com/em/datasheet/690367292076.pdf",,,,"Straight","2.54mm",,"Compliant","1.5mm","Surface Mount","100V","690367292076",,,
"690368172072","HEADER_2x10","Wurth Electronics","690368172072","WR-MM Receptacle, Dual Row, 20 Circuits","Receptacle","Through Hole","2","WR-MM","1A","5.8mm","https://katalog.we-online.com/em/datasheet/690368172072.pdf","PBT","105°C","20","Straight","2.54mm",,"Compliant","1.5mm","Through Hole","100V","690368172072",,,
"690368192072","HEADER_2x10","Wurth Electronics","690368192072","WR-MM Receptacle, Dual Row, 20 Circuits, Latch, Polarization","Receptacle","Through Hole","2","WR-MM","1A","5.8mm","https://katalog.we-online.com/em/datasheet/690368172072.pdf","PBT","105°C","20","Right Angle","2.54mm","Yes","Compliant","1.5mm","Through Hole","100V","690368192072",,,
