"Part Number","Library Ref","Max Collector Current","Max Power Dissipation","Case/Package","Description","Manufacturer","Manufacturer Part Number","Polarity","Mount","Footprint Ref","Collector Emitter Voltage","Height","HelpURL","Max Operating Temperature","Status","RoHS"
"MMBT2907AT-7-F","MMBT2907AT-7-F","600mA","150mW","SOT23","PNP Transistor","Diodes","MMBT2907AT-7-F","PNP","Surface Mount","SOT23_TO236_SC59","60V","1mm","http://datasheet.octopart.com/MMBT2907AT-7-F-Diodes-Inc.-datasheet-128300.pdf","150°C","MK","Compliant"
"MMBT3906,215","MMBT3906,215","200mA","250mW","SOT23","PNP switching transistor","Nexperia","MMBT3906,215","PNP","Surface Mount","SOT23_TO236_SC59","40V","1mm","http://datasheet.octopart.com/MMBT3906%2C215-Nexperia-datasheet-8385715.pdf","150°C",,"Non-Compliant"
