"Part Number","Library Ref","Footprint Ref","Manufacturer","Output Current","Case/Package","Max Output Current","Mount","Number of Bits","Description","Height","HelpURL","Lead Free","Length","Marking","Max Operating Temperature","Max Supply Voltage","Min Operating Temperature","Min Supply Voltage","REACH SVHC","RoHS","Status","Termination","Width","Manufacturer Part Number"
"M74VHC1GT125DF1G","M74VHC1GT125DF1G","SC70-5_SOT353_TSSOP5","ON Semiconductor",,"SOT353",,"Surface Mount",,"Noninverting Buffer /CMOS Logic Level Shifter with LSTTL-Compatible Inputs","1mm","https://datasheet.octopart.com/M74VHC1GT125DF2G-ON-Semiconductor-datasheet-560896.pdf","Lead Free","2mm","W1","125°C","5.5V","-55°C","3V",,"Compliant",,,"2.1mm","M74VHC1GT125DF1G"
"SN74LVC2G14DBVT","SN74LVC2G14DBVT","SOT23-6_SC74A_SOT753","Texas Instruments","32mA","SOT-23","32mA","Surface Mount","2","Dual Schmitt-Trigger Inverter","1.15mm","https://octopart.com/click/track?ct=datasheets&hlid=24921075&ppid=7102267&sid=370&sig=0c729dd","Lead Free","2.9mm","C145, C14F, C14K,","125°C","5.5V","-40°C","1.65V","No SVHC","Compliant",,"SMD/SMT","1.6mm",
