"Part Number","Library Ref","Case/Package","Color","Manufacturer Part Number","Description","Manufacturer","Mount","Height","HelpURL","Max Operating Temperature","RoHS","Status","Footprint Ref","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1"
"LTE-R38381S-S-U","OL_IR","SMD-3","Infrared","LTE-R38381S-S-U","Infrared Emitters High Power IR SMD LED","Lite-On","Surface Mount","2.24mm","https://pl.mouser.com/datasheet/2/239/20161228%20LTE-R38381S-S-U%20DATA%20SHEET-1114991.pdf","85°C","Compilant","AK","LTE-R38386A-ZF-U",,,
"LTE-R38386A-ZF-U","OL_IR","SMD-3","Infrared","LTE-R38386A-ZF-U","Infrared Emitters High Power IR SMD LED","Lite-On","Surface Mount","2.24mm","https://pl.mouser.com/datasheet/2/239/20161228%20LTE-R38386A-ZF-U%20DATA%20SHEET-1115010.pdf","85°C","Compilant","AK","LTE-R38386A-ZF-U",,,
"OL_IR_1206","OL_IR_1206",,"Infrared",,"LED_RED",,"Surface Mount","0mm",,"0°C",,,,,,
"VSLY5940","VSLY5940","Radial","Infrared","VSLY5940","LED_RED","Vishay","Through Hole","0mm","http://datasheet.octopart.com/VSLY5940-Vishay-datasheet-99784806.pdf","0°C",,,,,,
