"Part Number","Library Ref","Footprint Ref","Description","Manufacturer","Manufacturer Part Number","Case/Package","Mount","Height","HelpURL","Lead Free","Length","Marking","Max Charge Current","Max Operating Temperature","Max Output Current","Max Supply Voltage","Min Input Voltage","Min Operating Temperature","Min Supply Voltage","Number of Pins","REACH SVHC","RoHS","Status","Termination","Width"
"BQ24080DRCR","BQ24080","VSON10_3X3_0.5MM","IC, LI-ION CHARGE DEVICE","Texas Instruments","BQ24080DRCR","VSON10","Surface Mount","1mm","http://www.ti.com/lit/ds/symlink/bq24081.pdf","Lead Free","3mm",,"1A","125°C","1.5A","6.5V","4.5V","-40°C","4.5V","10","No SVHC","Compliant",,"SMD/SMT","3mm"
"BQ25703ARSNR","BQ25703ARSNR","QFN40P400X400X80_HS-33N","Battery Charger Controller Lead-Acid/Li-FePO4/Li-Ion/Li-Pol/NiCd/NiMH","Texas Instruments","BQ25703ARSNR","WQFN","Surface Mount","800µm","http://www.ti.com/lit/ds/symlink/bq25703a.pdf","Lead Free","4mm",,,"85°C",,"24V",,"-40°C","3.5V","32",,"Compliant",,"SMD/SMT","4mm"
"BQ25895MRTWT","BQ25895MRTWT","WQFN24","I2C Controlled Single Cell Fast Charger with MaxCharge Technology for High Input Voltage and Adjustable Voltage 3.1 A Boost Operation","Texas Instruments","BQ25895MRTWT","WQFN","Surface Mount","750µm","https://octopart.com/click/track?ct=datasheets&hlid=24873894&ppid=61647708&sid=370&sig=0f0382d","Lead Free","4mm",,"5A","85°C",,"14V",,"-40°C","0V","24","No SVHC","Compliant",,"SMD/SMT","4mm"
"LTC4080EDD#PBF","LTC4080EDD#PBF","DFN10_3X3X9","500mA Standalone Li-Ion Charger with integrated 300mA Synchronous Buck","Analog Devices","LTC4080EDD#PBF","DFN","Surface Mount","750µm","https://datasheet.octopart.com/LTC4080EDD%23PBF-Linear-Technology-datasheet-15927027.pdf","Lead Free","3mm",,,"85°C",,"5.5V","3.75V","-40°C","3.75V","10",,"Compliant",,"SMD/SMT","3mm"
"MAX17048G+T10","MAX17048G+T10","TDFN8","3uA 1-Cell/2-Cell Fuel Gauge with ModelGauge","Maxim Integrated","MAX17048G+T10","TDFN","Surface Mount","750µm","http://datasheet.octopart.com/MAX17048G%2BT10-Maxim-Integrated-datasheet-13725172.pdf","Lead Free","2mm",,,"85°C",,"4.5V",,"-20°C","2.5V","8",,"Compliant",,"SMD/SMT","2mm"
"MCP73831T-2ATI/OT","MCP73831T-2ATI/OT","SOT23-5_SC74A_SOT753_M","Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controllers","Microchip","MCP73831T-2ATI/OT","SOT-23","Surface Mount","1.3mm","http://datasheet.octopart.com/MCP73831T-2ATI/OT-Microchip-datasheet-8814540.pdf","Lead Free","3.1mm",,"500mA","85°C","500mA","6V",,"-40°C","3.75V","5","No SVHC","Compliant",,"SMD/SMT","1.8mm"
"STCC2540IQTR","STCC2540IQTR","QFN50P300X300X100_HS-17N","USB Charging Controller with Power Switch Single 4.5V to 5.5V 2.45A","STMicroelectronics","STCC2540IQTR","QFN16","Surface Mount","750µm","https://datasheet.octopart.com/STCC2540IQTR-STMicroelectronics-datasheet-38187674.pdf","Lead Free","3mm",,"2.6A","85°C","2.6A","5.5V","4.5V","-40°C","4.5V","16",,"Compliant","MK","SMD/SMT","3mm"
