"Part Number","Library Ref","Current","Revision State","Manufacturer","Manufacturer Part Number","Description","Voltage","Footprint Ref","HelpURL","Note","Status"
"TISP4015L1BJR-S","TISP4015L1BJR-S",,,"Bourns","TISP4015L1BJR-S","Thyristor Surge Protection Devices 8V 22A 2-Pin SMB","8V",,"https://www.bourns.com/docs/Product-Datasheets/TISP40xxH1BJ.pdf",,
"TR_Z0103MNT1G_600V_1A_SOT223","TR_Z0103MNT1G_600V_1A_SOT223","1A",,"ON Semiconductor","Z0103MNT1G",,"600V","SOT223_SC73",,,
