"Part Number","Library Ref","Footprint Ref","Manufacturer","Description","Frequency","Mount","Case/Package","Height","HelpURL","Interface","Marking","Max Frequency","Max Operating Temperature","Max Supply Current","Max Supply Voltage","Memory Size","Memory Type","Min Operating Temperature","Min Supply Voltage","Note","Number of Words","Operating Supply Voltage","Page Size","Revision","RoHS","Status","Word Size"
"93LC56BT-I/OT","93LC56BT-I/OT","SOT23-6_SC74A_SOT753","Microchip","2K Microwire Compatible Serial EEPROM","2MHz","Surface Mount","SOT-23","1.3mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21794F.pdf","Serial",,"2MHz","85°C",,"5.5V","2Kb","EEPROM","-40°C","2.5V",,,,,,"Compliant",,
"AT45DB041E-SSHN-B","AT45DB041E-SSHN-B","SOIC127P600X170-8N","Adesto","4-Mbit DataFlash (with Extra 128-Kbits), 1.65V Minimum SPI Serial Flash Memory","85MHz","Surface Mount","SOIC","1.5mm","http://www.mouser.com/ds/2/590/doc8783-533990.pdf","Serial, SPI",,"70MHz","85°C","15mA","3.6V","4Mb","DataFLASH, FLASH, NOR","-40°C","1.65V",,"512000","1.8V","264B",,"Compliant",,"8b"
"IS43TR16256AL-15HBL","IS43TR16256AL-15HBL","96FBGA_9X13","ISSI","4G, 1.35V, Ddr3l, 256Mx16, 1333Mt/S","667MHz","Surface Mount","TFBGA","1.1mm","https://pl.mouser.com/datasheet/2/198/43-46TR16256A-85120AL-268426.pdf","Parallel",,"666MHz","95°C","240mA","1.45V","4Gb","RAM, SDRAM","0°C","1.283V",,,"1.35V",,,"Compliant",,
"MT41K256M16TW-107IT:P","MT41K256M16TW-107IT:P","96FBGA_8X14","Micron","4Gb: x4, x8, x16 DDR3L SDRAM",,"Surface Mount","BGA","1.1mm","https://datasheet.octopart.com/MT41K256M16TW-107-IT%3AP-Micron-datasheet-62341887.pdf",,,"933MHz","95°C",,"1.45V",,,"-40°C","1.283V",,,"1.35V",,,"Compliant",,
"W25Q80DVSNIGTR","W25Q80DVSNIGTR","SOIC127P600X170-8N","Winbond","FLASH 8M SPI 104MHZ","104MHz","Surface Mount","SOIC","1.6m","http://www.winbond.com/resource-files/w25q80dv%20dl_revh_10022015.pdf","Serial,SPI",,,"85°C",,"3.6V",,"FLASH,NOR","-40°C","2.7V","Initial",,"3V","256B",,"Compliant",,
