"Part Number","Library Ref","Description","Mount","Diameter","Driver Circuitry","Frequency","Self Resonant Frequency","Manufacturer","Manufacturer Part Number","Voltage Rating","Footprint Ref","Height","HelpURL","Max Operating Temperature","Min Operating Temperature","Status","Number of Pins","Operating Supply Current","RoHS"
"BPT14X","Buzzer","Signal Buzzer Single Tone 4kHz 80dB @ 5V, 10cm","Through Hole","13.8mm","Internal","4kHz","4kHz","BESTAR","BPT14X","5V","WST-1205S","7.5mm","http://datasheet.octopart.com/BPT14X-BeStar-Electronics-datasheet-17558845.pdf","70","-20","MK","2","7mA",
"PKMCS0909E4000-R1","Buzzer","SMD Sounder External Piezo Buzzer, Maximum of 4 kHz","Surface Mount","9mm","External","4kHz","4kHz","Mlurata","PKMCS0909E4000-R1","+/- 12.5V","PKMCS0909E4000-R1","1.9mm","https://datasheet.octopart.com/PKLCS1212E20A0-R1-Murata-datasheet-32036507.pdf","85","-40","MK","2","-","Compliant"
"WST-1205S","Buzzer","Zero-Peak Signal Buzzer Single Tone 2.4kHz Magnetic 4 ~ 6V 87dB @ 5V, 10cm","Through Hole","12mm","Internal","2.3kHz","2.3kHz","Soberton","WST-1205S","5V","WST-1205S","9.5mm","http://cirlw3yrzg4afc1x47lv2k18.wpengine.netdna-cdn.com/wp-content/uploads/2016/12/WST-1205S-new.pdf","60","-20",,"2","30mA",
