"Part Number","Library Ref","Footprint Ref","Case/Package","Gender","Number of Contacts","Description","Mount","Number of Rows","Series","Connector Type","HelpURL","Max Operating Temperature","Number of Pins","Orientation","RoHS","Manufacturer","Manufacturer Part Number","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Status"
"95501-2882","HEADER_1x8","95501-2882",,"Female","8","JACK, RJ45, LP, 8/8","Through Hole","1","95501","RJ45","https://www.molex.com/pdm_docs/sd/955012882_sd.pdf","80°C","8","Right Angle","Compliant",,,,,,
"SI-61001-F","SI-61001-F","SI-61001-F","THT","Female","14","Ethernet connector","Through Hole","1",,,"https://datasheet.octopart.com/SI-61001-F-Stewart-Connector-datasheet-5436027.pdf","0°C","5",,,,,,,,
