"Part Number","Library Ref","Resistance","Tolerance","Current Rating","Voltage Rating (DC)","Case Code (Imperial)","Power Rating","Mount","Manufacturer","Manufacturer Part Number","Description","Footprint Ref","Height","HelpURL","RoHS","Max Operating Temperature","Stats"
"R_137K_0603_1","R","137k","1%",,"75V","0603","62.5mW","Surface Mount",,,,"R_0603_1608","400µm",,,"155°C",
"R_13K_0402_1","R","13k","1%",,"50V","0402","100mW","Surface Mount","Yageo","RC0402FR-0713KL","Thick Film Resistor","R_0402_1005","350µm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155°C","MK"
"R_13K_0805_1","R","13k","1%",,"150V","0805","250mW","Surface Mount","Bourns","CR0805-FX-1302ELF","Thick Film Resistor","R_0805_2012","0mm","http://datasheet.octopart.com/CR0805-FX-1302ELF-Bourns-datasheet-5318152.pdf","Compliant","155","MK"
"R_14K3_0402_1","R","14.3k","1%",,"25V","0402","50mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_150R_0402_1","R","150","1%",,,"0402","125mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_150R_0805_1","R","150","1%",,,"0805","100mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_150R_1206_1","R","150","1%",,,"1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_158K_0402_1","R","158k","1%",,"50V","0402","62.5mW","Surface Mount",,,,"R_0402_1005","400µm",,,"155°C",
"R_15K_0402_0.1","R","15k","0.1%",,"50V","0402","62.5mW","Surface Mount",,,,"R_0402_1005","356µm",,,"125°C",
"R_15K_0402_1","R","15k","1%",,"50V","0402","62.5mW","Surface Mount",,,,"R_0402_1005","400µm",,,"155°C",
"R_15K_0603_1","R","15k","1%",,"50V","0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_15R_0805_1","R","15","1%",,,"0805","125mW","Surface Mount","Yageo","RC0805FR-0715RL",,"R_0805_2012","0mm","http://datasheet.octopart.com/RC0805FR-0715RL-Yageo-datasheet-127823281.pdf",,"0°C",
"R_17K8_0402_1","R","17.8k","1%",,"50V","0402","100mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_180K_1206_1","R","180k","1%",,"200V","1206","125mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_180R_0805_1","R","180","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_180R_1206_1","R","180","1%",,,"1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_18K_0402_1","R","18k","1%",,"50V","0402","100mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_18K2_0402_1","R","18.2k","1%",,"50V","0402","125mW","Surface Mount","Yageo","RC0402FR-0718K2L","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_18K7_0402_1","R","18.7k","1%",,"50V","0402","125mW","Surface Mount","Yageo","RC0402FR-0718K7L","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_1K_0402_0.1","R","1k","0.1%",,"50V","0402","63mW","Surface Mount","Yageo","RT0402BRE071KL","Thin Film Resistor","R_0402_1005","0.3mm","http://datasheet.octopart.com/RT0402BRE071KL-Yageo-datasheet-12594463.pdf","Compliant","125","MK"
"R_1K_0402_1","R","1k","1%",,"50V","0402","100mW","Surface Mount","Panasonic","ERJ-2RKF1001X","Thick Film Resistor","R_0402_1005","320µm","http://datasheet.octopart.com/ERJ-2RKF1001X-Panasonic-datasheet-13266541.pdf","Compliant","155","MK"
"R_1K_0603_1","R","1k","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_1K_0805_1","R","1k","1%",,"150V","0805","100mW","Surface Mount","Yageo","RC0805FR-071KL","Thick Film Resistor","R_0805_2012","0mm","http://datasheet.octopart.com/RC0805FR-071KL-Yageo-datasheet-8330313.pdf","Compliant","155","MK"
"R_1K1_0805_1","R","1.1k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_1K5_0402_1","R","1.5k","1%",,,"0402","62.5mW","Surface Mount","Yageo","RC0402FR-071K5L",,"R_0402_1005","400µm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"155°C",
"R_1K5_0603_1","R","1.5k","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_1K5_0805_1","R","1.5k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_1K8_0402_1","R","1.8k","1%",,"50V","0402","63mW","Surface Mount","Panasonic","ERJ-2RKF1801X","Thick Film Resistor","R_0402_1005","400µm","http://datasheet.octopart.com/ERJ-2RKF1801X-Panasonic-datasheet-13266541.pdf","Compliant","155","MK"
"R_1K8_1206_1","R","1.8k","1%",,"200V","1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_1K91_0805_1","R","1.91k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_1M_0402_1","R","1Meg","1%",,,"0402","63mW","Surface Mount",,,,"R_0402_1005","320µm",,,"155°C",
"R_1M_0603_1","R","1Meg","1%",,,"0603","125mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_1M_0805_1","R","1Meg","1%",,,"0805","63mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_1M_1206_1","R","1Meg","1%",,,"1206","100mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_1M_1210_1","R","1Meg","1%",,,"1210","125mW","Surface Mount",,,,"R_1210_3225","0mm",,,"0°C",
"R_1M_THT_5","R","1Meg","5%",,"3.5kV","THT","125mW","Through Hole",,,,"R_AXIAL_5.069_0.9","0mm",,,"0°C",
"R_1R_0402_1","R","1","1%",,"50V","0402","62.5mW","Surface Mount","Yageo","RC0402FR-131RL",,"R_0402_1005","320µm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"155°C",
"R_1R_0603_1","R","1","1%",,"50V","0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_1R_0805_1","R","1","1%",,,"0805","250mW","Surface Mount","Yageo","RC0805FR-131RL","Thick Film Resistor","R_0805_2012","0mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_1R_1206_1","R","1","1%",,,"1206","100mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_1R_1210_1","R","1","1%",,,"1210","100mW","Surface Mount",,,,"R_1210_3225","0mm",,,"0°C",
"R_1R2_1206_1","R","1.2","1%",,,"1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_1R5_0805_1","R","1.5","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_1R5_1206_1","R","1.5","1%",,"200V","1206","100mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_200K_0402_1","R","200k","1%",,"50V","0402","100mW","Surface Mount","Yageo","RC0402FR-07200KL","Thick Film Resistor","R_0402_1005","0.4mm","http://datasheet.octopart.com/RC0402FR-07200KL-Yageo-datasheet-10408619.pdf","Compliant","155","MK"
"R_200K_0805_1","R","200k","1%",,,"0805","100mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_200R_0402_0.1","R","200","0.1%",,"50V","0402","63mW","Surface Mount","Yageo","RT0402BRD07200RL","Thin Film Resistor","R_0402_1005","0.3mm","http://datasheet.octopart.com/RT0402BRD07200RL-Yageo-datasheet-86813807.pdf","Compliant","125","MK"
"R_200R_0402_1","R","200","1%",,"50V","0402","63mW","Surface Mount","Yageo","RC0402FR-07200RL","Thick Film Resistor","R_0402_1005","0.4mm","http://datasheet.octopart.com/RC0402FR-07200RL-Yageo-datasheet-10408619.pdf","Compliant","155","MK"
"R_200R_0603_1","R","200","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_200R_0805_1","R","200","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_200R_1206_1","R","200","1%",,,"1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_20K_0402_1","R","20k","1%",,"50V","0402","100mW","Surface Mount","Yageo","RC0402FR-1320KL","Thick Film Resistor","R_0402_1005","350µm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_20K_0603_1","R","20k","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_20K_0805_1","R","20k","1%",,,"0805","100mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_20R_0603_1","R","20","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_220K_0402_1","R","220k","1%",,,"0402","63mW","Surface Mount","Yageo","RC0402FR-07220KL",,"R_0402_1005","0mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"0°C",
"R_220K_0603_1","R","220k","1%",,,"0603","250mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_220K_1206_1","R","220k","1%",,,"1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_220R_0402_1","R","220","1%",,"50V","0402","100mW","Surface Mount","Yageo","RC0402FR-07220RL","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_220R_0603_1","R","220","1%",,,"0603","125mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_220R_0805_1","R","220","1%",,,"0805","63mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_22K_0402_1","R","22k","1%",,"50V","0402","63mW","Surface Mount","

Yageo",,,"R_0402_1005","0mm",,,"0°C",
"R_22K_0603_1","R","22k","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_22K_0805_1","R","22k","1%",,,"0805","100mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_22R_0402_1","R","22","1%",,"50V","0402","63mW","Surface Mount","Yageo","RC0402FR-0722RL","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","0°C","MK"
"R_22R_0603_5","R","22","5%",,,"0603","125mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_23K2_0402_1","R","23.2k","1%",,"50V","0402","125mW","Surface Mount","Yageo","RC0402FR-0723K2L",,"R_0402_1005","0mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"0°C",
"R_24.9K_0402_1","R","2.49k","1%",,"50V","0402","125m","Surface Mount","Panasonic","ERJ-2RKF2492X","Thick Film Resistor","R_0402_1005","350um","http://datasheet.octopart.com/ERJ-2RKF2492X-Panasonic-datasheet-13266541.pdf","Compliant","155","MK"
"R_240R_0402_1","R","240","1%",,,"0402","100mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_240R_0603_1","R","240","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_249K_0603_1","R","249k","1%",,,"0603","63mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_24K_0603_1","R","24k","1%",,,"0603","125mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_255K_0805_1","R","255k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_25K5_0805_1","R","25.5k","1%",,,"0805","100mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_270R_0402_1","R","270","1%",,"50V","0402","100mW","Surface Mount","Yageo","RC0402FR-07270RL","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_270R_0805_1","R","270","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_27K_0402_5","R","27k","5%",,,"0402","100mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_27K_0805_1","R","27k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_27K4_0402_1","R","27.4k","1%",,,"0402","100mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_27R_0402_1","R","27","1%",,,"0402","63mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_27R_0603_1","R","27","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_27R_0805_1","R","27","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_28K7_0402_1","R","28.7k","1%",,,"0402","63mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_2K_0603_1","R","2k","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_2K_0805_1","R","2k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_2K2_0402_1","R","2.2k","1%",,"50V","0402","125mW","Surface Mount","Yageo","RC0402FR-072K2L","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_2K2_0805_1","R","2.2k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_2K7_0603_1","R","2.7k","1%",,,"0603","125mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_2K7_0805_1","R","2.7k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_2K94_0603_1","R","2.94k","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_2K94_0805_1","R","2.9k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_2R_0603_5","R","2","5%",,"50V","0603","63mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_2R_0805_1","R","2","1%",,"150V","0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_2R2_0402_1","R","2.2","1%",,"50V","0402","125mW","Surface Mount","Yageo","RC0402FR-072R2L","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_2R7_0805_1","R","2.7","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_300R_0805","R","300","1%",,,"0805","100mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_30K_0402_1","R","30k","1%",,"50V","0402","62.5mW","Surface Mount","Yageo","RC0402FR-0730KL",,"R_0402_1005","350µm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"155°C",
"R_30K_0805_1","R","30k","1%",,,"0805","100mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_30K_1206_1","R","30k","1%",,,"1206","100mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_30K1_0603_1","R","30.1k","1%",,"50V","0603","100mW","Surface Mount",,,,"R_0603_1608","450µm",,,"155°C",
"R_330R_0402_1","R","330","1%",,"50V","0402","100mW","Surface Mount","Yageo","RC0402FR-13330RL",,"R_0402_1005","0mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"0°C",
"R_330R_0603_1","R","330","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_330R_0805_1","R","330","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_33K_0402_1","R","33k","1%",,"50V","0402","100mW","Surface Mount","Yageo","RC0402FR-1333KL",,"R_0402_1005","0mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"0°C",
"R_33K_0603_1","R","33k","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_33K_0805_1","R","33k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_33R_0402_1","R","33","1%",,"50V","0402","100mW","Surface Mount","Yageo","RC0402FR-0733RL","Thick Film Resistor","R_0402_1005","0.35","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_357K_0402_1","R","357k","1%",,"50V","0402","63mW","Surface Mount","Yageo","RC0402FR-07357KL","Thick Film Resistor","R_0402_1005","0mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","0°C","MK"
