"Part Number","Library Ref","Resistance","Tolerance","Current Rating","Voltage Rating (DC)","Case Code (Imperial)","Power Rating","Mount","Manufacturer","Manufacturer Part Number","Description","Footprint Ref","Height","HelpURL","RoHS","Max Operating Temperature","Stats"
"R_4K7_0805_1","R","4.7k","1%",,"150V","0805","125mW","Surface Mount","Yageo","RC0805FR-074K7L","Thick Film Resistor","R_0805_2012","0.5mm","http://datasheet.octopart.com/RC0805FR-074K7L-Yageo-datasheet-8330313.pdf","Compliant","155","MK"
"R_4M3_0805_1","R","4.3Meg","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_4M7_1206_1","R","4.7M","1%",,,"1206","125mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_4R7_1206_1","R","4.7","1%",,"200V","1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_4R99_0402_1","R","4.99","1%",,"50V","0402","63mW","Surface Mount","Yageo","RC0402FR-074R99L",,"R_0402_1005","400µm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"155°C",
"R_4R99_0603_1","R","4.99","1%",,"60V","0603","63mW","Surface Mount",,,,"R_0603_1608","450µm",,,"155°C",
"R_510K_0603_1","R","47k","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_510K_0805_1","R","510k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_510R_0603_1","R","510","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_510R_0805","R","510","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_51K_0805_1","R","51k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_51R_0402_1","R","51","1%",,"50V","0402","100mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_51R_0805_1","R","51","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_549K_0402_1","R","549k","1%",,,"0402","100mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_560K_0402_1","R","560k","1%",,"50V","0402","63mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_560K_0805_1","R","560k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_56K_0402_1","R","56k","1%",,"50V","0402","63mW","Surface Mount","Yageo","RC0402FR-0756KL",,"R_0402_1005","0mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"0°C",
"R_5K1_0805_1","R","5.1k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_5K23_0402_1","R","5.23k","1%",,"50V","0402","63mW","Surface Mount","

Yageo","RC0402FR-075K23L","Thick Film Resistor","R_0402_1005","0mm","http://datasheet.octopart.com/RC0402FR-075K23L-Yageo-datasheet-12531192.pdf","Compliant","155","MK"
"R_5K6_0402_1","R","5.6k","1%",,"50V","0402","100mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_5K6_0805_1","R","5.6k","1%",,,"0805","100mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_604R_0402_1","R","604","1%",,"50V","0402","63mW","Surface Mount","Yageo","RC0402FR-07604RL","Thick Film Resistor","R_0402_1005","0.4mm","http://datasheet.octopart.com/RC0402FR-07604RL-Yageo-datasheet-10408619.pdf","Non-Compliant","155","MK"
"R_634K_0402_1","R","634k","1%",,,"0402","125mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_64K9_0402_1","R","64.9k","1%",,"50V","0402","63mW","Surface Mount",,,,"R_0402_1005","0.35mm",,,"155°C",
"R_680K_0603_1","R","680k","1%",,,"0603","63mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_680R_0805_1","R","680","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_68R_0402_1","R","68","1%",,"50V","0402","250mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_69K8_0402_1","R","69.8k","1%",,"50V","0402","125mW","Surface Mount","Yageo","RC0402FR-0769K8L","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_6K8_0603_1","R","6.8k","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_6K8_0805_1","R","6.8k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_787K_0805_1","R","787k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_7R5_1206_1","R","7.5","1%",,"200V","1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_806K_0805_1","R","806k","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_806R_0402_1","R","806","1%",,,"0402","125mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_80R6_0402_1","R","8.06","1%",,"50V","0402","63mW","Surface Mount",,,,"R_0402_1005","0mm",,,"0°C",
"R_820R_0603_1","R","820","1%",,,"0603","125mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_820R_0805_1","R","820","1%",,,"0805","100mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_8K06_0402_1","R","8.06k","1%",,"50V","0402","100mW","Surface Mount",,,,"R_0402_1005","0.4mm",,,"0°C",
"R_8K66_0402_1","R","8.66k","1%",,"50V","0402","100mW","Surface Mount","Yageo","RC0402FR-078K66L","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155°C","MK"
"R_8R2_1206_1","R","8.2","1%",,,"1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_8R2_1206_1","R","8.2","1%",,,"1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
