"Part Number","Library Ref","Footprint Ref","Manufacturer","Frequency","Max Output Current","Case/Package","Description","Number of Outputs","Mount","Height","HelpURL","Length","Marking","Max Input Voltage","Max Operating Temperature","Max Supply Voltage","Min Input Voltage","Min Operating Temperature","Min Supply Voltage","RoHS","Status","Supplier Part Number 1","Supplier 1"
"MIC2009YM6TR","MIC2009YM6TR","SOT23-6_SC74A_SOT753","Microchip",,"2A","1412","IC SW DISTRIBUTION ADJ SOT23-6","1","Surface Mount","1.3mm","https://datasheet.octopart.com/MIC2009A-1YM6-TR-Microchip-datasheet-11551479.pdf","2.9mm",,"5.5V","85°C","5.5V","2.5V","-40°C","2.5V","Compliant",,,
"STUSB1600AQTR","STUSB1600AQTR","QFN50P400X400X100_HS-25N","STMicroelectronics",,,"QFN24","Standalone USB Type-CTM controller with high voltage protections",,"Surface Mount","900µm","https://www.st.com/resource/en/datasheet/stusb1600.pdf","4mm",,,"105°C","5.5V",,"-40°C","3V","Compliant",,,
"TPD8S300RUKR","TPD8S300RUKR","QFN40P300X300X80_HS-21N","texas instruments",,,"WQFN","SURGE SUPP 8VC 2-CIRCUIT 20WQFN",,"Surface mount","800µm","http://www.ti.com/lit/ds/symlink/tpd8s300.pdf?fbclid=IwAR2yoFB8jx_uh9yJk5eNIEWpkSYeVMzd4GqLxgIw8Y5biMpjlpp0GNIi1tU","3mm",,,"125°C","4V",,"-40°C","2.7V","Compilant",,,
"TPS65981ABIRTQR","TPS65981ABIRTQR","QFN50P800X800X100_HS-57N","Texas Instruments",,,"VQFN56","USB C and USB PD Controller, Power Switch and High Speed Mixer",,"Surface Mount","1mm","http://www.ti.com/lit/ds/slvsdc2b/slvsdc2b.pdf","8mm",,,"85°C","5.5V",,"-40°C","4.75V","Compliant",,,
"USB2514B-AEZC","USB2514B-AEZC","USB2514B-AEZC-Footprint-1","Microchip",,,"QFN","IC USB 2.0 4PORT HUB CTLR 36QFN",,"Surface Mount","950µm","https://datasheet.octopart.com/USB2514B-AEZC-TR-Microchip-datasheet-62268038.pdf","6mm",,,"85°C","3.6V",,"0°C","3V","Compliant",,,
"USB3320C-EZK-TR","USB3320C-EZK-TR","QFN32_5X5X8","Microchip","60MHz",,"QFN","Hi-Speed USB 2.0 ULPI Transceiver",,"Surface Mount","950µm","https://datasheet.octopart.com/USB3320C-EZK-TR-Microchip-datasheet-15538632.pdf","5.1mm",,,"85°C","3.6V",,"-40°C","3V","Compliant",,,
